"BehaviorSpace results (NetLogo 6.0.1)"
"Roman_LULCC.nlogo"
"cell-resolution"
"08/14/2017 20:27:54:672 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","grain-req","expectation-scalar","tenure-drop","patches-per-ha","dynamic-pop","init-households","tenure","annual-precip","wood-req","[step]","mean [grain-supply] of households"
"251","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78665.41354887077"
"252","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78235.49281581902"
"253","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78404.55474477708"
"254","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78479.3305008238"
"255","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78785.76679853954"
"256","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78599.07548123473"
"257","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78238.53444291922"
"258","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78451.70861374642"
"259","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78466.3023595134"
"260","212","0.75","0.2","4","false","10","""satisficing""","0.54","2000","200","78622.0176228076"
"261","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78331.8312577492"
"262","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78315.67309852909"
"263","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78604.40685447077"
"264","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78725.8453999729"
"265","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78400.61266514822"
"266","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78330.98140745249"
"267","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78509.13135672761"
"268","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78557.2309256331"
"269","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78356.92156938332"
"270","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78321.82013132835"
"271","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78336.59465289058"
"272","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78756.32007617805"
"273","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78615.4513309227"
"274","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78602.40811792013"
"275","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78657.18314798649"
