title,type,description,lon,lat,periods,minDate,maxDate,id,tags
Turris Rutunda,villa,"An ancient place, cited: BAtlas 32 D4 Turris Rutunda",10.386576,36.260237,RL,-30,640,315237,"dare:ancient=1, dare:major=0, dare:feature=villa"
Villa Magna Variana,villa,"An ancient place, cited: BAtlas 32 D3 Villa Magna Variana",9.366642,36.569468,HRL,-330,640,315263,"dare:ancient=1, dare:major=0, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.752589,36.691677,R,-30,300,320123,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.404307,36.596698,HR,-330,300,320125,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 F3 unnamed unlabeled ((1 monument))",10.356781,36.520194,R,-30,300,320130,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 G3 unnamed unlabeled ((1 bath, 1 cemetery))",10.642624,36.513501,R,-30,300,320132,"dare:major=0, dare:ancient=2, dare:feature=villa"
Withdrawn: Tellaro Roman villa,villa,This place resource is a duplicate for http://pleiades.stoa.org/places/462122 and was erroneously created and published. It has been withdrawn and moved to errata.,15.0784713,36.8359248,RL,-30,640,215496319,
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.775961,36.926423,R,-30,300,208942320,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.782793,36.923459,R,-30,300,208942321,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.783562,36.896978,R,-30,300,208942322,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.777705,36.904031,R,-30,300,208942323,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.79858,36.937258,R,-30,300,208942324,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.788855,36.936958,R,-30,300,208942325,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.807969,36.923119,R,-30,300,208942326,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.816,36.933755,R,-30,300,208942327,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.798299,36.879688,R,-30,300,208942328,"dare:major=0, dare:ancient=2, dare:feature=villa"
